school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,health,absences,score
object,object,int64,object,object,object,object,object,object,object,object,object,object,object,object,object,object,object,object,object,object,object,object,object,object,object,object,float64,float64
GP,F,18,U,GT3,A,4.0,4.0,at_home,teacher,course,mother,2.0,2.0,0.0,yes,no,no,no,yes,yes,yes,no,4.0,3.0,4.0,3.0,6.0,30.0
GP,F,17,U,GT3,T,1.0,1.0,at_home,other,course,father,1.0,2.0,0.0,no,yes,no,no,no,yes,yes,no,5.0,3.0,3.0,3.0,4.0,30.0
GP,F,15,U,LE3,T,1.0,1.0,at_home,other,other,mother,1.0,2.0,3.0,yes,no,no,no,yes,yes,yes,no,4.0,3.0,2.0,3.0,10.0,50.0
GP,F,15,U,GT3,T,4.0,2.0,health,other,home,mother,1.0,3.0,0.0,no,yes,yes,yes,yes,yes,yes,yes,3.0,2.0,2.0,5.0,2.0,75.0
GP,F,16,U,GT3,T,3.0,3.0,other,other,home,father,1.0,2.0,0.0,no,yes,yes,no,yes,yes,no,no,4.0,3.0,2.0,5.0,4.0,50.0
GP,M,16,U,LE3,T,4.0,3.0,services,other,reputation,mother,1.0,2.0,0.0,no,yes,yes,yes,yes,yes,yes,no,5.0,4.0,2.0,5.0,10.0,75.0
GP,M,16,U,LE3,T,2.0,2.0,other,other,home,mother,1.0,2.0,0.0,no,no,no,no,yes,yes,yes,no,4.0,4.0,4.0,3.0,0.0,55.0
GP,F,17,U,GT3,A,4.0,4.0,other,teacher,home,mother,2.0,2.0,0.0,yes,yes,no,no,yes,yes,no,no,4.0,1.0,4.0,1.0,6.0,30.0
GP,M,15,U,LE3,A,3.0,2.0,services,other,home,mother,1.0,2.0,0.0,no,yes,yes,no,yes,yes,yes,no,4.0,2.0,2.0,1.0,0.0,95.0
GP,M,15,U,GT3,T,3.0,4.0,other,other,home,mother,1.0,2.0,0.0,no,yes,yes,yes,yes,yes,yes,no,5.0,5.0,1.0,5.0,0.0,75.0
GP,F,15,U,GT3,T,4.0,4.0,teacher,health,reputation,mother,1.0,2.0,0.0,no,yes,yes,no,yes,yes,yes,no,3.0,3.0,3.0,2.0,0.0,45.0
GP,F,15,U,GT3,T,2.0,4.0,services,other,reputation,father,3.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,2.0,2.0,4.0,4.0,60.0
GP,M,15,U,LE3,T,4.0,4.0,health,services,course,father,1.0,1.0,0.0,no,yes,yes,yes,yes,yes,yes,no,4.0,3.0,3.0,5.0,2.0,70.0
GP,M,15,U,GT3,T,4.0,3.0,teacher,other,course,mother,2.0,2.0,0.0,no,yes,yes,no,yes,yes,yes,no,5.0,4.0,3.0,3.0,2.0,55.0
GP,M,15,U,GT3,A,2.0,2.0,other,other,home,other,1.0,3.0,0.0,no,yes,no,no,yes,yes,yes,yes,4.0,5.0,2.0,3.0,0.0,80.0
GP,F,16,U,GT3,T,4.0,4.0,health,other,home,mother,1.0,1.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,4.0,4.0,2.0,4.0,70.0
GP,F,16,U,GT3,T,4.0,4.0,services,services,reputation,mother,1.0,3.0,0.0,no,yes,yes,yes,yes,yes,yes,no,3.0,2.0,3.0,2.0,6.0,70.0
GP,F,16,U,GT3,T,3.0,3.0,other,other,reputation,mother,3.0,2.0,0.0,yes,yes,no,yes,yes,yes,no,no,5.0,3.0,2.0,4.0,4.0,50.0
GP,M,17,U,GT3,T,3.0,2.0,services,services,course,mother,1.0,1.0,3.0,no,yes,no,yes,yes,yes,yes,no,5.0,5.0,5.0,5.0,16.0,25.0
GP,M,16,U,LE3,T,4.0,3.0,health,other,home,father,1.0,1.0,0.0,no,no,no,yes,yes,yes,yes,no,3.0,1.0,3.0,5.0,4.0,50.0
GP,M,15,U,GT3,T,4.0,3.0,teacher,other,reputation,mother,1.0,2.0,0.0,no,no,no,no,yes,yes,yes,no,4.0,4.0,1.0,1.0,0.0,75.0
GP,M,15,U,GT3,T,4.0,2.0,health,health,other,father,1.0,1.0,0.0,no,yes,no,no,yes,yes,yes,no,5.0,4.0,2.0,5.0,0.0,75.0
GP,M,16,U,LE3,T,4.0,2.0,teacher,other,course,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,4.0,5.0,1.0,5.0,2.0,80.0
GP,M,16,U,LE3,T,2.0,2.0,other,other,reputation,mother,2.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,4.0,5.0,0.0,60.0
GP,F,15,R,GT3,T,2.0,4.0,services,health,course,mother,1.0,3.0,0.0,yes,yes,yes,yes,yes,yes,yes,no,4.0,3.0,2.0,5.0,4.0,40.0
GP,F,16,U,GT3,T,2.0,2.0,services,services,home,mother,1.0,1.0,2.0,no,yes,yes,no,no,yes,yes,no,1.0,2.0,2.0,5.0,14.0,40.0
GP,M,15,U,GT3,T,2.0,2.0,other,other,home,mother,1.0,1.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,2.0,2.0,5.0,2.0,55.0
GP,M,15,U,GT3,T,4.0,2.0,health,services,other,mother,1.0,1.0,0.0,no,no,yes,no,yes,yes,yes,no,2.0,2.0,4.0,1.0,4.0,75.0
GP,M,16,U,LE3,T,3.0,4.0,services,other,home,mother,1.0,2.0,0.0,yes,yes,no,yes,yes,yes,yes,no,5.0,3.0,3.0,5.0,4.0,55.0
GP,M,16,U,GT3,T,4.0,4.0,other,teacher,home,mother,1.0,2.0,0.0,no,yes,yes,yes,yes,yes,yes,yes,4.0,4.0,5.0,5.0,16.0,55.0
GP,M,15,U,GT3,T,4.0,4.0,health,services,home,mother,1.0,2.0,0.0,no,yes,yes,no,no,yes,yes,no,5.0,4.0,2.0,5.0,0.0,60.0
GP,M,15,U,GT3,T,4.0,4.0,services,other,reputation,mother,2.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,1.0,5.0,0.0,85.0
GP,M,15,R,GT3,T,4.0,3.0,teacher,at_home,course,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,yes,4.0,3.0,2.0,5.0,0.0,80.0
GP,M,15,U,LE3,T,3.0,3.0,other,other,course,mother,1.0,2.0,0.0,no,yes,no,yes,no,yes,yes,no,5.0,3.0,2.0,2.0,0.0,60.0
GP,M,16,U,GT3,T,3.0,2.0,other,other,home,mother,1.0,1.0,0.0,no,yes,yes,no,no,yes,yes,no,5.0,4.0,3.0,5.0,0.0,75.0
GP,F,15,U,GT3,T,2.0,3.0,other,other,other,father,1.0,1.0,0.0,no,yes,no,yes,yes,yes,no,no,3.0,5.0,1.0,5.0,0.0,30.0
GP,M,15,U,GT3,T,4.0,3.0,teacher,services,home,mother,1.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,3.0,4.0,2.0,90.0
GP,M,16,R,GT3,A,4.0,4.0,other,teacher,reputation,mother,1.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,yes,2.0,4.0,3.0,5.0,7.0,75.0
GP,F,15,R,GT3,T,3.0,4.0,services,health,course,mother,1.0,3.0,0.0,yes,yes,yes,yes,yes,yes,yes,no,4.0,3.0,2.0,5.0,2.0,55.0
GP,F,15,R,GT3,T,2.0,2.0,at_home,other,reputation,mother,1.0,1.0,0.0,yes,yes,yes,yes,yes,yes,no,no,4.0,3.0,1.0,2.0,8.0,65.0
GP,F,16,U,LE3,T,2.0,2.0,other,other,home,mother,2.0,2.0,1.0,no,yes,no,yes,no,yes,yes,yes,3.0,3.0,3.0,3.0,4.0,55.0
GP,M,15,U,LE3,T,4.0,4.0,teacher,other,home,mother,1.0,1.0,0.0,no,yes,no,no,no,yes,yes,no,5.0,4.0,3.0,5.0,8.0,60.0
GP,M,15,U,GT3,T,4.0,2.0,services,teacher,course,father,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,3.0,5.0,2.0,90.0
GP,M,15,U,GT3,T,2.0,2.0,services,services,course,father,1.0,1.0,0.0,yes,yes,no,yes,yes,yes,yes,no,4.0,4.0,1.0,1.0,0.0,55.0
GP,F,16,U,LE3,T,2.0,2.0,other,other,course,father,2.0,2.0,1.0,yes,no,no,yes,yes,yes,yes,no,4.0,3.0,3.0,5.0,14.0,45.0
GP,F,15,U,LE3,A,4.0,3.0,other,other,course,mother,1.0,2.0,0.0,yes,yes,yes,yes,yes,yes,yes,yes,5.0,2.0,2.0,5.0,8.0,30.0
GP,F,16,U,LE3,A,3.0,2.0,other,services,home,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,2.0,3.0,5.0,3.0,12.0,55.0
GP,M,16,U,GT3,T,4.0,3.0,health,other,reputation,mother,1.0,4.0,0.0,no,no,no,yes,yes,yes,yes,no,4.0,2.0,2.0,2.0,4.0,100.0
GP,M,15,U,GT3,T,4.0,2.0,teacher,other,home,mother,1.0,2.0,0.0,no,yes,yes,no,yes,yes,no,no,4.0,3.0,3.0,5.0,2.0,70.0
GP,F,15,U,GT3,T,4.0,4.0,services,teacher,other,mother,1.0,2.0,1.0,yes,yes,no,yes,no,yes,yes,no,4.0,4.0,4.0,3.0,2.0,35.0
GP,F,16,U,LE3,T,2.0,2.0,services,services,course,mother,3.0,2.0,0.0,no,yes,yes,no,yes,yes,yes,no,4.0,3.0,3.0,4.0,2.0,65.0
GP,F,15,U,LE3,T,4.0,2.0,health,other,other,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,3.0,3.0,5.0,2.0,65.0
GP,M,15,U,LE3,A,4.0,2.0,health,other,other,father,2.0,1.0,1.0,no,yes,no,no,yes,yes,yes,no,5.0,5.0,5.0,5.0,6.0,50.0
GP,F,15,U,GT3,T,4.0,4.0,services,services,course,mother,1.0,1.0,0.0,yes,yes,yes,no,yes,yes,yes,no,3.0,3.0,4.0,5.0,0.0,55.0
GP,F,15,U,LE3,T,3.0,3.0,other,other,other,mother,1.0,1.0,0.0,no,no,yes,yes,yes,yes,yes,no,5.0,3.0,4.0,1.0,6.0,65.0
GP,F,16,U,GT3,A,2.0,1.0,other,other,other,mother,1.0,2.0,0.0,no,no,yes,yes,yes,yes,yes,yes,5.0,3.0,4.0,5.0,8.0,50.0
GP,F,15,U,GT3,A,4.0,3.0,services,services,reputation,mother,1.0,2.0,0.0,no,yes,yes,yes,yes,yes,yes,no,4.0,3.0,2.0,1.0,0.0,75.0
GP,M,15,U,GT3,T,4.0,2.0,teacher,health,reputation,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,no,no,3.0,2.0,2.0,5.0,4.0,75.0
GP,M,15,U,LE3,T,1.0,2.0,other,at_home,home,father,1.0,2.0,0.0,yes,yes,no,yes,yes,yes,yes,no,4.0,3.0,2.0,5.0,2.0,45.0
GP,F,16,U,GT3,T,4.0,2.0,other,other,course,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,2.0,3.0,5.0,2.0,80.0
GP,F,16,R,GT3,T,4.0,4.0,health,teacher,other,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,no,no,2.0,4.0,4.0,4.0,6.0,55.0
GP,F,16,U,GT3,T,1.0,1.0,services,services,course,father,4.0,1.0,0.0,yes,yes,no,yes,no,yes,yes,yes,5.0,5.0,5.0,5.0,6.0,55.0
GP,F,16,U,LE3,T,1.0,2.0,other,services,reputation,father,1.0,2.0,0.0,yes,no,no,yes,yes,yes,yes,no,4.0,4.0,3.0,1.0,4.0,45.0
GP,F,16,U,GT3,T,4.0,3.0,teacher,health,course,mother,1.0,3.0,0.0,yes,yes,yes,yes,yes,yes,yes,no,3.0,4.0,4.0,4.0,2.0,45.0
GP,F,15,U,LE3,T,4.0,3.0,services,services,reputation,father,1.0,2.0,0.0,yes,no,no,yes,yes,yes,yes,yes,4.0,4.0,4.0,2.0,0.0,50.0
GP,F,16,U,LE3,T,4.0,3.0,teacher,services,course,mother,3.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,3.0,1.0,2.0,75.0
GP,M,15,U,GT3,A,4.0,4.0,other,services,reputation,mother,1.0,4.0,0.0,no,yes,no,yes,no,yes,yes,yes,1.0,3.0,3.0,3.0,4.0,60.0
GP,F,16,U,GT3,T,3.0,2.0,services,other,course,mother,1.0,4.0,0.0,yes,yes,yes,no,yes,yes,yes,no,4.0,3.0,3.0,5.0,4.0,30.0
GP,F,15,R,LE3,T,2.0,2.0,health,other,reputation,mother,1.0,2.0,0.0,yes,yes,no,no,yes,yes,yes,no,4.0,1.0,3.0,4.0,2.0,40.0
GP,F,15,R,LE3,T,3.0,1.0,other,other,reputation,father,2.0,4.0,0.0,no,yes,no,no,no,yes,yes,no,4.0,4.0,2.0,3.0,12.0,80.0
GP,M,16,U,GT3,T,3.0,1.0,other,other,reputation,father,1.0,4.0,0.0,no,yes,yes,no,yes,yes,yes,no,4.0,3.0,2.0,5.0,0.0,75.0
GP,M,15,U,GT3,T,4.0,2.0,other,other,course,mother,1.0,4.0,0.0,no,no,no,no,yes,yes,yes,no,3.0,3.0,3.0,3.0,0.0,50.0
GP,F,15,R,GT3,T,1.0,1.0,other,other,reputation,mother,1.0,2.0,2.0,yes,yes,no,no,no,yes,yes,yes,4.0,3.0,4.0,5.0,2.0,25.0
GP,M,16,U,GT3,T,3.0,1.0,other,other,course,mother,1.0,1.0,0.0,no,no,no,yes,yes,yes,no,no,4.0,3.0,2.0,5.0,2.0,70.0
GP,F,16,U,GT3,T,3.0,3.0,other,services,home,mother,1.0,2.0,0.0,yes,yes,yes,yes,yes,yes,yes,no,4.0,3.0,3.0,5.0,4.0,55.0
GP,M,15,U,GT3,T,4.0,3.0,teacher,other,home,mother,1.0,2.0,0.0,no,yes,yes,yes,yes,yes,yes,no,4.0,3.0,3.0,5.0,6.0,50.0
GP,M,15,U,GT3,T,4.0,0.0,teacher,other,course,mother,2.0,4.0,0.0,no,no,no,yes,yes,yes,yes,no,3.0,4.0,3.0,1.0,8.0,50.0
GP,F,16,U,GT3,T,2.0,2.0,other,other,course,mother,1.0,4.0,0.0,no,no,yes,no,yes,yes,yes,yes,5.0,2.0,3.0,3.0,0.0,55.0
GP,M,17,U,GT3,T,2.0,1.0,other,other,home,mother,2.0,1.0,3.0,yes,yes,no,yes,yes,no,yes,no,4.0,5.0,1.0,3.0,2.0,50.0
GP,F,16,U,GT3,T,3.0,4.0,at_home,other,course,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,2.0,4.0,3.0,3.0,12.0,25.0
GP,M,15,U,GT3,T,2.0,3.0,other,services,course,father,1.0,1.0,0.0,yes,yes,yes,yes,no,yes,yes,yes,3.0,2.0,2.0,3.0,2.0,60.0
GP,M,15,U,GT3,T,2.0,3.0,other,other,home,mother,1.0,3.0,0.0,yes,no,no,yes,no,yes,yes,no,5.0,3.0,2.0,5.0,4.0,55.0
GP,F,15,U,LE3,T,3.0,2.0,services,other,reputation,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,4.0,4.0,5.0,10.0,30.0
GP,M,15,U,LE3,T,2.0,2.0,services,services,home,mother,2.0,2.0,0.0,no,no,yes,yes,yes,yes,yes,no,5.0,3.0,3.0,4.0,4.0,75.0
GP,F,15,U,GT3,T,1.0,1.0,other,other,home,father,1.0,2.0,0.0,no,yes,no,yes,no,yes,yes,no,4.0,3.0,2.0,4.0,2.0,50.0
GP,F,15,U,GT3,T,4.0,4.0,services,services,reputation,father,2.0,2.0,2.0,no,no,yes,no,yes,yes,yes,yes,4.0,4.0,4.0,5.0,6.0,40.0
GP,F,16,U,LE3,T,2.0,2.0,at_home,other,course,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,3.0,4.0,2.0,4.0,30.0
GP,F,15,U,GT3,T,4.0,2.0,other,other,reputation,mother,1.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,3.0,3.0,1.0,4.0,70.0
GP,M,16,U,GT3,T,2.0,2.0,other,other,reputation,father,2.0,2.0,1.0,no,no,yes,yes,yes,yes,yes,no,4.0,4.0,2.0,5.0,12.0,50.0
GP,M,16,U,LE3,A,4.0,4.0,teacher,health,reputation,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,no,no,4.0,1.0,3.0,5.0,18.0,35.0
GP,F,16,U,GT3,T,3.0,3.0,other,other,home,mother,1.0,3.0,0.0,no,yes,yes,no,yes,yes,yes,yes,4.0,3.0,3.0,4.0,0.0,40.0
GP,F,15,U,GT3,T,4.0,3.0,services,other,reputation,mother,1.0,2.0,0.0,no,no,yes,yes,yes,yes,yes,no,4.0,5.0,5.0,1.0,4.0,90.0
GP,F,16,U,LE3,T,4.0,1.0,other,other,home,father,1.0,2.0,0.0,yes,yes,no,no,yes,yes,no,no,3.0,3.0,3.0,2.0,4.0,30.0
GP,F,16,U,GT3,T,4.0,2.0,teacher,services,home,mother,2.0,2.0,0.0,no,yes,yes,yes,yes,yes,yes,no,5.0,3.0,3.0,1.0,0.0,50.0
GP,M,15,U,LE3,T,2.0,2.0,services,health,reputation,mother,1.0,4.0,0.0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,4.0,4.0,6.0,70.0
GP,F,15,R,GT3,T,1.0,1.0,at_home,other,home,mother,2.0,4.0,1.0,yes,yes,yes,yes,yes,yes,yes,no,3.0,1.0,2.0,1.0,2.0,50.0
GP,M,16,U,GT3,T,4.0,3.0,services,other,reputation,mother,2.0,1.0,0.0,yes,yes,no,yes,no,yes,yes,no,3.0,3.0,3.0,4.0,2.0,75.0
GP,F,16,U,GT3,T,2.0,1.0,other,other,course,mother,1.0,2.0,0.0,no,yes,yes,no,yes,yes,no,yes,4.0,3.0,5.0,5.0,2.0,50.0
GP,F,16,U,GT3,T,4.0,4.0,other,other,reputation,mother,1.0,1.0,0.0,no,yes,no,yes,no,yes,yes,no,5.0,3.0,4.0,1.0,6.0,70.0
GP,F,16,U,GT3,T,4.0,3.0,other,at_home,course,mother,1.0,3.0,0.0,yes,yes,yes,yes,yes,yes,yes,no,5.0,3.0,5.0,3.0,0.0,40.0
GP,M,16,U,GT3,T,4.0,4.0,services,services,other,mother,1.0,1.0,0.0,yes,yes,yes,yes,yes,yes,yes,no,4.0,5.0,5.0,4.0,14.0,25.0
GP,M,16,U,GT3,T,4.0,4.0,services,teacher,other,father,1.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,yes,4.0,4.0,3.0,4.0,4.0,85.0
GP,M,15,U,GT3,T,4.0,4.0,services,other,course,mother,1.0,1.0,0.0,no,yes,no,yes,no,yes,yes,no,4.0,3.0,3.0,5.0,4.0,70.0
GP,F,15,U,GT3,T,3.0,2.0,services,other,home,mother,2.0,2.0,0.0,yes,yes,yes,no,yes,yes,yes,no,4.0,3.0,5.0,2.0,4.0,30.0
GP,M,15,U,GT3,A,3.0,4.0,other,other,course,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,4.0,1.0,0.0,90.0
GP,F,15,U,GT3,A,3.0,3.0,other,health,reputation,father,1.0,4.0,0.0,yes,no,no,no,yes,yes,no,no,4.0,3.0,3.0,4.0,10.0,55.0
GP,F,15,U,GT3,T,2.0,2.0,other,other,course,mother,1.0,4.0,0.0,yes,yes,yes,no,yes,yes,yes,no,5.0,1.0,2.0,3.0,8.0,40.0
GP,M,16,U,GT3,T,3.0,3.0,services,other,home,father,1.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,3.0,3.0,5.0,2.0,90.0
GP,M,15,R,GT3,T,4.0,4.0,other,other,home,father,4.0,4.0,0.0,no,yes,yes,yes,yes,yes,yes,yes,1.0,3.0,5.0,1.0,6.0,65.0
GP,F,16,U,LE3,T,4.0,4.0,health,health,other,mother,1.0,3.0,0.0,no,yes,yes,yes,yes,yes,yes,yes,5.0,4.0,5.0,4.0,4.0,80.0
GP,M,15,U,LE3,A,4.0,4.0,teacher,teacher,course,mother,1.0,1.0,0.0,no,no,no,yes,yes,yes,yes,no,5.0,5.0,3.0,4.0,6.0,95.0
GP,F,16,R,GT3,T,3.0,3.0,services,other,reputation,father,1.0,3.0,1.0,yes,yes,no,yes,yes,yes,yes,no,4.0,1.0,2.0,2.0,0.0,50.0
GP,F,16,U,GT3,T,2.0,2.0,at_home,other,course,mother,1.0,2.0,1.0,yes,no,no,yes,yes,yes,yes,no,3.0,1.0,2.0,5.0,6.0,65.0
GP,M,15,U,LE3,T,4.0,2.0,teacher,other,course,mother,1.0,1.0,0.0,no,no,no,no,yes,yes,yes,no,3.0,5.0,2.0,3.0,10.0,95.0
GP,M,15,R,GT3,T,2.0,1.0,health,services,reputation,mother,1.0,2.0,0.0,no,no,no,yes,yes,yes,yes,yes,5.0,4.0,2.0,5.0,8.0,45.0
GP,M,16,U,GT3,T,4.0,4.0,teacher,teacher,course,father,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,4.0,5.0,2.0,80.0
GP,M,15,U,GT3,T,4.0,4.0,other,teacher,reputation,father,2.0,2.0,0.0,no,yes,no,yes,yes,yes,no,no,4.0,4.0,3.0,2.0,2.0,70.0
GP,M,16,U,GT3,T,3.0,3.0,other,services,home,father,2.0,1.0,0.0,no,no,no,yes,yes,yes,yes,no,5.0,4.0,2.0,5.0,0.0,65.0
GP,M,17,R,GT3,T,1.0,3.0,other,other,course,father,3.0,2.0,1.0,no,yes,no,yes,yes,yes,yes,no,4.0,2.0,4.0,5.0,20.0,40.0
GP,M,15,U,GT3,T,3.0,4.0,other,other,reputation,father,1.0,1.0,0.0,no,no,no,no,yes,yes,yes,no,3.0,4.0,3.0,4.0,6.0,65.0
GP,F,15,U,GT3,T,1.0,2.0,at_home,other,course,mother,1.0,2.0,0.0,no,no,no,no,no,yes,yes,no,3.0,2.0,3.0,1.0,4.0,75.0
GP,M,15,U,GT3,T,2.0,2.0,services,services,home,father,1.0,4.0,0.0,no,yes,yes,yes,yes,yes,yes,no,5.0,5.0,4.0,5.0,6.0,75.0
GP,F,16,U,LE3,T,2.0,4.0,other,health,course,father,2.0,2.0,0.0,no,yes,yes,yes,yes,yes,yes,yes,4.0,2.0,2.0,5.0,2.0,65.0
GP,M,16,U,GT3,T,4.0,4.0,health,other,course,mother,1.0,1.0,0.0,no,yes,no,yes,yes,yes,yes,no,3.0,4.0,4.0,5.0,18.0,65.0
GP,F,16,U,GT3,T,2.0,2.0,other,other,home,mother,1.0,2.0,0.0,no,no,yes,no,yes,yes,yes,yes,5.0,4.0,4.0,5.0,0.0,40.0
GP,M,15,U,GT3,T,3.0,4.0,services,services,home,father,1.0,1.0,0.0,yes,no,no,no,yes,yes,yes,no,5.0,5.0,5.0,5.0,0.0,60.0
GP,F,15,U,LE3,A,3.0,4.0,other,other,home,mother,1.0,2.0,0.0,yes,no,no,yes,yes,yes,yes,yes,5.0,3.0,2.0,1.0,0.0,55.0
